,player_name,name,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate_attack,work_rate_defense,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,id,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position_long,team_title,npg,npxG,xGChain,xGBuildup,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS.,AerialsWon,MotM,Rating,club,shot_num,npg_num,npxG_num,xGgg03_sum,xGss03_sum,xGgg03_goal_sum,xGss03_goal_sum,situation_OpenPlay,situation_SetPiece,situation_OpenPlay_goal,situation_SetPiece_goal,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,shotType_Head_goal,shotType_LeftFoot_goal,shotType_OtherBodyPart_goal,shotType_RightFoot_goal,shotZone_SixYardBox,shotZone_PenaltyArea,shotZone_OutOfBox,shotZone_SixYardBox_goal,shotZone_PenaltyArea_goal,shotZone_OutOfBox_goal,crowdedArea,crowdedArea_goal,npxG_diff,xGgg03_goal_P,xGss03_goal_P,situation_OpenPlay_goal_P,situation_SetPiece_goal_P,shotType_Head_goal_P,shotType_LeftFoot_goal_P,shotType_OtherBodyPart_goal_P,shotType_RightFoot_goal_P,shotZone_SixYardBox_goal_P,shotZone_PenaltyArea_goal_P,shotZone_OutOfBox_goal_P,crowdedArea_goal_P,position_short
11,Danny Ings,Ings,195859,https://sofifa.com/player/195859/danny-ings/220002,D. Ings,Daniel William John Ings,ST,81,81,26500000,90000,28,7/23/92,178,73,2,Aston Villa,English Premier League,1,ST,20,NA,8/4/21,2024,14,England,NA,NA,NA,Right,4,3,1,High,High,Normal (170-185),Yes,50400000,#Clinical Finisher,"Injury Prone, Finesse Shot",79,84,70,80,45,70,66,86,78,75,76,78,72,70,61,81,82,76,77,86,77,83,79,74,69,83,67,46,86,72,81,85,38,45,34,10,13,12,16,6,NA,81,81,81,79,81,81,81,79,79+2,79+2,79+2,77+2,73+2,73+2,73+2,77+2,63+2,61+2,61+2,61+2,63+2,60+2,57+2,57+2,57+2,60+2,20+2,https://cdn.sofifa.net/players/195/859/22_120.png,https://cdn.sofifa.net/teams/2/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,986,29,2200,12,8.276573244,4,2.31123058,57,22,1,0,F S,Southampton,10,6.754235521,10.48221801,2.479040857,Danny Ings,26(3),2185,12,4,1,0,2,66.3,0.8,2,6.84,Southampton,55,10,6.754235547,11,44,5,5,41,14,8,2,13,6,0,36,1,1,0,8,2,39,14,1,8,1,36,7,3.245764453,0.454545455,0.113636364,0.195121951,0.142857143,0.076923077,0.166666667,NA,0.222222222,0.5,0.205128205,0.071428571,0.194444444,ST
12,Danny Welbeck,Welbeck,186146,https://sofifa.com/player/186146/danny-welbeck/220002,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,"ST, LW, LM",73,73,3000000,45000,30,11/26/90,185,73,1808,Brighton & Hove Albion,English Premier League,1,LS,18,NA,10/18/20,2022,14,England,NA,NA,NA,Right,3,3,2,High,High,Normal (185+),Yes,5700000,NA,"Injury Prone, Speed Dribbler (AI)",71,72,67,72,42,66,69,75,75,66,68,72,61,62,64,72,66,75,72,70,61,76,79,50,70,63,75,32,74,70,68,75,43,38,33,9,10,6,12,16,NA,73,73,73,71,71,71,71,71,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,55+2,55+2,55+2,55+2,55+2,53+2,53+2,53+2,53+2,53+2,18+2,https://cdn.sofifa.net/players/186/146/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,501,24,1551,6,7.380381532,1,3.23136685,35,22,0,0,F M S,Brighton,6,6.619249471,10.26566652,1.476512637,Danny Welbeck,17(7),1547,6,1,0,0,1.5,81,0.9,1,6.66,Brighton,34,6,6.619249457,9,25,3,3,30,4,5,1,8,13,0,13,1,2,0,3,4,25,5,2,2,2,18,2,-0.619249457,0.333333333,0.12,0.166666667,0.25,0.125,0.153846154,NA,0.230769231,0.5,0.08,0.4,0.111111111,ST
13,David McGoldrick,McGoldrick,180818,https://sofifa.com/player/180818/david-mcgoldrick/220002,D. McGoldrick,David McGoldrick,ST,73,73,1900000,25000,33,11/29/87,183,74,1794,Sheffield United,English League Championship,2,LS,17,NA,7/24/18,2022,25,Republic of Ireland,NA,NA,NA,Right,3,3,1,Medium,High,Normal (170-185),Yes,3600000,NA,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",65,72,71,76,33,68,63,72,72,76,71,76,68,65,68,77,64,66,69,75,76,72,73,69,72,68,57,25,73,76,78,76,36,27,19,15,7,10,10,9,NA,73,73,73,72,74-1,74-1,74-1,72,74-1,74-1,74-1,72+1,69+2,69+2,69+2,72+1,54+2,54+2,54+2,54+2,54+2,50+2,47+2,47+2,47+2,50+2,17+2,https://cdn.sofifa.net/players/180/818/22_120.png,https://cdn.sofifa.net/teams/1794/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/ie.png,7711,35,2409,8,7.605752226,1,1.116618961,71,17,7,0,F M S,Sheffield United,8,7.605752226,9.950739227,3.253697068,David McGoldrick,28(7),2402,8,1,7,0,2,74.7,2.5,2,6.72,Sheffield United,70,8,6.799279249,8,62,5,3,56,14,6,2,13,14,0,43,2,2,0,4,7,37,26,2,4,2,23,4,1.200720751,0.625,0.048387097,0.107142857,0.142857143,0.153846154,0.142857143,NA,0.093023256,0.285714286,0.108108108,0.076923077,0.173913043,ST
14,Diogo Jota,Jota,224458,https://sofifa.com/player/224458/diogo-jose-teixeira-da-silva/220002,Diogo Jota,Diogo José Teixeira da Silva,"LW, ST",82,87,46000000,120000,24,12/4/96,178,73,9,Liverpool,English Premier League,1,SUB,20,NA,9/19/20,2025,38,Portugal,1354,LW,21,Right,5,4,2,High,High,Normal (170-185),Yes,88600000,#Acrobat,Speed Dribbler (AI),84,81,73,85,57,77,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83,54,57,45,7,12,15,9,11,NA,82+2,82+2,82+2,82,82,82,82,82,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,18+2,https://cdn.sofifa.net/players/224/458/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png,6854,19,1114,9,7.057720538,0,1.762521075,46,12,2,0,F M S,Liverpool,9,7.057720538,10.9729747,4.076096492,Diogo Jota,12(7),1113,9,0,2,0,2.4,74.9,0.7,0,6.89,Liverpool,46,9,7.057720453,11,35,4,5,40,6,8,1,8,11,0,27,3,1,0,5,3,36,7,1,8,0,29,8,1.942279547,0.363636364,0.142857143,0.2,0.166666667,0.375,0.090909091,NA,0.185185185,0.333333333,0.222222222,0,0.275862069,ST
15,Dominic Calvert-Lewin,Calvert-Lewin,221479,https://sofifa.com/player/221479/dominic-calvert-lewin/220002,D. Calvert-Lewin,Dominic Calvert-Lewin,ST,81,85,37500000,90000,24,3/16/97,187,71,7,Everton,English Premier League,1,ST,9,NA,8/31/16,2025,14,England,1318,SUB,18,Right,3,3,2,High,Medium,Unique,Yes,74100000,NA,Power Header,83,77,64,77,39,82,65,82,89,72,73,76,64,54,47,80,76,89,72,81,65,79,91,80,83,65,78,35,84,64,77,76,38,31,23,12,12,8,7,11,NA,81+2,81+2,81+2,76,78,78,78,76,74+2,74+2,74+2,75+2,67+2,67+2,67+2,75+2,59+2,56+2,56+2,56+2,59+2,57+2,55+2,55+2,55+2,57+2,18+2,https://cdn.sofifa.net/players/221/479/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,5555,33,2878,16,18.21051367,0,2.101818834,83,18,3,0,F S,Everton,16,18.21051367,19.88430648,4.270797715,Dominic Calvert-Lewin,32(1),2876,16,0,3,0,2.5,68.7,4.7,4,7.17,Everton,83,16,18.21051378,24,59,13,3,64,19,10,6,34,12,0,37,7,1,0,8,21,53,9,10,6,0,46,6,-2.210513781,0.541666667,0.050847458,0.15625,0.315789474,0.205882353,0.083333333,NA,0.216216216,0.476190476,0.113207547,0,0.130434783,ST
16,Edinson Cavani,Cavani,179813,https://sofifa.com/player/179813/edinson-cavani/220002,E. Cavani,Edinson Roberto Cavani Gómez,ST,85,85,26000000,190000,34,2/14/87,185,77,11,Manchester United,English Premier League,1,SUB,21,NA,10/5/20,2022,60,Uruguay,NA,NA,NA,Right,4,3,4,High,High,Unique,Yes,48100000,NA,"Injury Prone, Power Header",66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,NA,84+1,84+1,84+1,78,81,81,81,78,78+3,78+3,78+3,76+3,73+3,73+3,73+3,76+3,65+3,64+3,64+3,64+3,65+3,63+3,63+3,63+3,63+3,63+3,19+3,https://cdn.sofifa.net/players/179/813/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/uy.png,3294,26,1355,10,8.603231721,3,2.317243515,34,14,4,0,F S,Manchester United,10,8.603231721,12.25918739,2.730645167,Edinson Cavani,13(13),1372,10,3,4,0,1.3,77.4,0.4,1,6.67,Manchester United,34,10,8.60323175,14,20,7,3,28,6,8,2,12,7,0,15,6,1,0,3,6,25,3,2,7,1,25,7,1.39676825,0.5,0.15,0.285714286,0.333333333,0.5,0.142857143,NA,0.2,0.333333333,0.28,0.333333333,0.28,ST
17,Ferrán Torres,Torres,241461,https://sofifa.com/player/241461/ferran-torres-garcia/220002,Ferran Torres,Ferran Torres García,"RW, ST",82,90,68500000,120000,21,2/29/00,184,77,10,Manchester City,English Premier League,1,ST,21,NA,8/4/20,2025,45,Spain,1362,RW,11,Right,4,4,1,High,Medium,Lean (170-185),Yes,140400000,NA,Technical Dribbler (AI),82,79,78,82,35,66,77,81,73,80,74,84,71,60,78,81,87,78,82,81,76,79,75,73,70,76,45,34,84,84,66,82,35,24,28,12,9,11,15,12,NA,80+2,80+2,80+2,82,82,82,82,82,82+2,82+2,82+2,81+2,75+2,75+2,75+2,81+2,61+2,58+2,58+2,58+2,61+2,57+2,49+2,49+2,49+2,57+2,20+2,https://cdn.sofifa.net/players/241/461/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1362/60.png,https://cdn.sofifa.net/flags/es.png,6441,24,1305,7,5.728707629,2,2.202425992,36,18,1,0,F M S,Manchester City,7,5.728707629,10.00299604,2.958362011,Ferran Torres,15(9),1306,7,2,1,0,1.5,85.2,0.6,2,6.76,Manchester City,36,7,5.728707674,7,29,4,3,29,7,6,1,5,7,0,24,0,2,0,5,3,26,7,1,5,1,21,5,1.271292326,0.571428571,0.103448276,0.206896552,0.142857143,0,0.285714286,NA,0.208333333,0.333333333,0.192307692,0.142857143,0.238095238,W
18,Gabriel Jesus,Jesus,230666,https://sofifa.com/player/230666/gabriel-fernando-de-jesus/220002,Gabriel Jesus,Gabriel Fernando de Jesus,ST,83,87,52500000,150000,24,4/3/97,175,73,10,Manchester City,English Premier League,1,SUB,9,NA,8/3/16,2023,54,Brazil,NA,NA,NA,Right,3,4,2,High,Medium,Unique,Yes,101100000,"#Dribbler, #Acrobat","Flair, Chip Shot (AI), Technical Dribbler (AI)",84,81,72,86,39,73,66,84,77,77,77,86,76,54,66,86,87,82,91,86,87,82,79,79,69,76,73,32,87,77,75,79,45,30,28,13,8,6,6,15,NA,83+2,83+2,83+2,82,83,83,83,82,82+2,82+2,82+2,81+2,74+2,74+2,74+2,81+2,62+2,60+2,60+2,60+2,62+2,58+2,54+2,54+2,54+2,58+2,19+2,https://cdn.sofifa.net/players/230/666/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/br.png,5543,29,2053,9,9.653353471,4,3.549695262,55,31,2,0,F M S,Manchester City,9,9.653353471,17.87849656,6.233648159,Gabriel Jesus,22(7),2060,9,4,2,0,1.9,85,0.7,1,7.11,Manchester City,55,9,9.653353566,12,43,8,1,48,7,9,0,7,15,0,33,1,3,0,5,8,36,11,5,4,0,32,3,-0.653353566,0.666666667,0.023255814,0.1875,0,0.142857143,0.2,NA,0.151515152,0.625,0.111111111,0,0.09375,ST
19,Gareth Bale,Bale,173731,https://sofifa.com/player/173731/gareth-bale/220002,G. Bale,Gareth Frank Bale,"RM, RW",82,82,25000000,170000,31,7/16/89,185,82,243,Real Madrid CF,Spain Primera Division,1,RW,18,NA,9/1/13,2022,50,Wales,1367,RM,11,Left,3,4,4,Medium,Medium,Unique,Yes,51300000,"#Distance Shooter, #Crosser, #FK Specialist","Long Throw-in, Injury Prone, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",82,84,82,80,55,70,86,82,84,80,85,80,91,87,79,83,80,83,78,78,64,90,84,61,76,87,64,53,82,79,76,85,50,53,50,15,15,11,5,6,NA,82,82,82,82,82,82,82,82,81+1,81+1,81+1,80+2,77+3,77+3,77+3,80+2,68+3,67+3,67+3,67+3,68+3,67+3,64+3,64+3,64+3,67+3,18+3,https://cdn.sofifa.net/players/173/731/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png,2251,20,909,11,5.797857678,2,1.842241395,38,21,1,0,M S,Tottenham,11,5.797857678,8.14964091,2.594513725,Gareth Bale,10(10),923,11,2,1,0,1.9,73.2,1.2,4,7.3,Tottenham,38,11,5.797857688,6,32,5,6,29,9,11,0,6,31,0,1,2,8,0,1,6,16,16,5,5,1,14,4,5.202142312,0.833333333,0.1875,0.379310345,0,0.333333333,0.258064516,NA,1,0.833333333,0.3125,0.0625,0.285714286,W
20,Harry Kane,Kane,202126,https://sofifa.com/player/202126/harry-kane/220002,H. Kane,Harry Kane,ST,90,90,129500000,240000,27,7/28/93,188,89,18,Tottenham Hotspur,English Premier League,1,ST,10,NA,7/28/10,2024,14,England,1318,ST,9,Right,5,3,4,High,High,Unique,Yes,246100000,"#Distance Shooter, #Clinical Finisher","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",70,91,83,83,47,83,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11,NA,88+2,88+2,88+2,84,86,86,86,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,67+3,68+3,68+3,68+3,67+3,64+3,61+3,61+3,61+3,64+3,20+3,https://cdn.sofifa.net/players/202/126/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,647,35,3097,23,22.17485891,14,7.577093588,138,49,1,0,F,Tottenham,19,19.13018344,24.99564832,4.451256848,Harry Kane,35,3087,23,14,1,0,3.9,69.9,2.2,13,7.79,Tottenham,134,19,19.1301833,27,107,13,6,94,40,18,1,28,27,0,79,4,3,0,12,16,66,52,4,11,4,45,9,-0.130183304,0.481481481,0.056074766,0.191489362,0.025,0.142857143,0.111111111,NA,0.151898734,0.25,0.166666667,0.076923077,0.2,ST
21,Harvey Barnes,Barnes,234742,https://sofifa.com/player/234742/harvey-barnes/220002,H. Barnes,Harvey Lewis Barnes,"LM, LW",81,84,35000000,95000,23,12/9/97,180,66,95,Leicester City,English Premier League,1,LM,7,NA,6/25/16,2025,14,England,NA,NA,NA,Right,4,3,1,High,Medium,Normal (170-185),Yes,69100000,NA,"Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",86,77,76,81,45,63,78,78,46,77,66,82,76,69,68,81,85,86,81,82,79,80,59,73,64,79,48,43,81,79,54,75,45,47,44,6,5,11,8,10,NA,76+2,76+2,76+2,81,80,80,80,81,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,66+2,62+2,62+2,62+2,66+2,63+2,53+2,53+2,53+2,63+2,16+2,https://cdn.sofifa.net/players/234/742/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,6681,25,1954,9,6.697319919,4,1.771688027,56,26,0,0,F M S,Leicester,9,6.697319919,8.893774411,1.594840528,Harvey Barnes,22(3),1950,9,4,0,0,2.2,75.2,1,2,6.98,Leicester,56,9,6.697319956,9,47,4,5,51,5,9,0,1,12,0,43,0,4,0,5,3,38,15,0,7,2,24,7,2.302680044,0.444444444,0.106382979,0.176470588,0,0,0.333333333,NA,0.11627907,0,0.184210526,0.133333333,0.291666667,W
22,Ilkay Gündogan,Gundogan,186942,https://sofifa.com/player/186942/ilkay-gundogan/220002,İ. Gündoğan,İlkay Gündoğan,"CM, CDM",85,85,51500000,185000,30,10/24/90,180,80,10,Manchester City,English Premier League,1,LCM,8,NA,7/1/16,2023,21,Germany,1337,SUB,21,Right,4,4,3,High,Medium,Normal (170-185),Yes,95300000,"#Dribbler, #Playmaker, #Complete Midfielder","Injury Prone, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",65,80,85,86,73,72,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,NA,78+3,78+3,78+3,82,82,82,82,82,84+1,84+1,84+1,82+3,84+1,84+1,84+1,82+3,78+3,80+3,80+3,80+3,78+3,75+3,73+3,73+3,73+3,75+3,19+3,https://cdn.sofifa.net/players/186/942/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png,314,28,2033,13,9.566883081,2,3.816219656,54,42,1,0,M S,Manchester City,12,8.044545346,19.28681173,10.14837474,Ilkay Gündogan,23(5),2031,13,2,1,0,1.9,91.7,0.4,2,7.29,Manchester City,52,12,8.044545333,10,42,7,5,40,12,11,1,4,9,1,38,1,3,0,8,6,29,17,4,6,2,25,6,3.955454667,0.7,0.119047619,0.275,0.083333333,0.25,0.333333333,0,0.210526316,0.666666667,0.206896552,0.117647059,0.24,CM
23,Jack Grealish,Grealish,206517,https://sofifa.com/player/206517/jack-grealish/220002,J. Grealish,Jack Grealish,"LW, LM, CAM",84,85,50500000,180000,25,9/10/95,180,81,10,Manchester City,English Premier League,1,LW,10,NA,8/5/21,2027,14,England,1318,SUB,7,Right,3,4,3,High,Medium,Unique,Yes,97200000,#Dribbler,"Flair, Playmaker (AI), Technical Dribbler (AI)",80,76,83,88,46,64,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,48,49,43,11,6,11,10,13,NA,75+3,75+3,75+3,83,82,82,82,83,84+1,84+1,84+1,83+2,80+3,80+3,80+3,83+2,68+3,67+3,67+3,67+3,68+3,64+3,53+3,53+3,53+3,64+3,18+3,https://cdn.sofifa.net/players/206/517/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png,675,26,2187,6,5.192683823,10,9.334136628,50,81,5,0,F M S,Aston Villa,6,5.192683823,17.48746881,6.972043984,Jack Grealish,24(2),2184,6,10,6,0,1.9,83.3,1,4,7.56,Aston Villa,50,6,5.192683821,4,46,2,4,42,8,6,0,1,10,0,39,0,0,0,6,2,35,13,1,3,2,21,3,0.807316179,0.5,0.086956522,0.142857143,0,0,0,NA,0.153846154,0.5,0.085714286,0.153846154,0.142857143,W
24,Jack Harrison,Harrison,232080,https://sofifa.com/player/232080/jack-harrison/220002,J. Harrison,Jack Harrison,"LM, RM",78,84,22000000,66000,24,11/20/96,175,70,8,Leeds United,English Premier League,1,LM,22,NA,7/2/21,2024,14,England,NA,NA,NA,Left,3,4,1,High,High,Normal (170-185),Yes,46200000,NA,"Finesse Shot, Flair, Technical Dribbler (AI)",83,71,72,79,42,68,76,71,45,73,62,79,70,56,62,78,84,82,82,75,81,75,63,85,65,68,57,36,75,76,64,73,42,43,44,11,8,10,6,11,NA,72+2,72+2,72+2,77,75,75,75,77,75+2,75+2,75+2,77+2,70+2,70+2,70+2,77+2,64+2,59+2,59+2,59+2,64+2,61+2,51+2,51+2,51+2,61+2,16+2,https://cdn.sofifa.net/players/232/080/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,8720,36,2871,8,6.254042701,8,7.523059309,46,59,2,0,M S,Leeds,8,6.254042701,19.39748966,8.035575423,Jack Harrison,34(2),2858,8,8,2,0,1.3,74,0.7,4,6.96,Leeds,46,8,6.254042635,8,38,3,5,41,5,7,1,2,33,0,11,0,3,0,5,3,33,10,1,6,1,22,5,1.745957365,0.375,0.131578947,0.170731707,0.2,0,0.090909091,NA,0.454545455,0.333333333,0.181818182,0.1,0.227272727,W
25,James Maddison,Maddison,220697,https://sofifa.com/player/220697/james-maddison/220002,J. Maddison,James Maddison,"CAM, CM",82,85,41500000,100000,24,11/23/96,175,73,95,Leicester City,English Premier League,1,CAM,10,NA,6/20/18,2024,14,England,NA,NA,NA,Right,4,4,1,High,Medium,Lean (170-185),Yes,82000000,NA,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75,78,84,84,54,60,81,75,35,84,70,84,85,84,82,86,78,72,86,76,83,83,54,74,51,80,68,44,80,87,74,84,59,65,42,11,14,14,12,14,NA,74+2,74+2,74+2,81,80,80,80,81,82+2,82+2,82+2,81+2,80+2,80+2,80+2,81+2,69+2,69+2,69+2,69+2,69+2,65+2,57+2,57+2,57+2,65+2,20+2,https://cdn.sofifa.net/players/220/697/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,6818,31,2123,8,3.827569867,5,5.386723921,75,50,4,0,M S,Leicester,8,3.827569867,11.7434311,6.073130352,James Maddison,24(7),2105,8,5,4,0,2.4,83.3,0.1,2,7,Leicester,75,8,3.827569887,1,74,1,7,59,16,7,1,1,14,0,60,0,2,0,6,0,23,52,0,5,3,17,4,4.172430113,1,0.094594595,0.118644068,0.0625,0,0.142857143,NA,0.1,NA,0.217391304,0.057692308,0.235294118,CM
26,James Rodríguez,Rodriguez,169792,https://sofifa.com/player/169792/jay-rodriguez/220002,J. Rodriguez,Jay Rodriguez,ST,74,74,3600000,33000,31,7/29/89,185,84,1796,Burnley,English Premier League,1,SUB,19,NA,7/9/19,2022,14,England,NA,NA,NA,Right,4,3,2,High,Medium,Lean (185+),Yes,6800000,NA,Long Shot Taker (AI),67,76,67,73,42,66,68,75,76,69,76,73,69,39,66,74,65,69,69,75,64,78,78,68,73,76,45,44,75,70,78,77,48,30,21,12,12,16,14,9,NA,74,74,74,72,73,73,73,72,72+2,72+2,72+2,71+2,68+2,68+2,68+2,71+2,57+2,56+2,56+2,56+2,57+2,54+2,52+2,52+2,52+2,54+2,19+2,https://cdn.sofifa.net/players/169/792/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,2249,23,1802,6,3.363537842,4,5.439711567,37,40,4,0,F M S,Everton,6,3.363537842,12.03300487,7.104181377,James Rodríguez,21(2),1776,6,4,4,0,1.6,83.3,0.3,3,7.21,Everton,37,6,3.363537826,3,34,2,4,31,6,6,0,0,31,0,6,0,3,0,3,0,18,19,0,4,2,16,4,2.636462174,0.666666667,0.117647059,0.193548387,0,NA,0.096774194,NA,0.5,NA,0.222222222,0.105263158,0.25,CM
27,James Ward-Prowse,Ward-Prowse,205569,https://sofifa.com/player/205569/james-ward-prowse/220002,J. Ward-Prowse,James Ward-Prowse,CM,81,84,33500000,69000,26,11/1/94,173,66,17,Southampton,English Premier League,1,RCM,8,NA,6/1/11,2026,14,England,NA,NA,NA,Right,3,3,2,Medium,High,Normal (170-185),Yes,66200000,"#Crosser, #FK Specialist","Solid Player, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Team Player",59,74,86,78,67,73,89,71,57,85,51,76,92,92,84,82,66,54,75,75,76,82,65,91,64,79,73,67,65,82,79,77,64,74,65,12,12,10,15,15,NA,71+2,71+2,71+2,76,75,75,75,76,77+2,77+2,77+2,77+2,80+2,80+2,80+2,77+2,75+2,76+2,76+2,76+2,75+2,73+2,68+2,68+2,68+2,73+2,20+2,https://cdn.sofifa.net/players/205/569/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,NA,https://cdn.sofifa.net/flags/gb-eng.png,843,38,3420,8,5.442036316,7,4.070979098,43,60,5,0,D M,Southampton,5,2.397360951,10.63773024,9.401033999,James Ward-Prowse,38,3420,8,7,5,0,1.1,86.4,1.2,2,7.07,Southampton,39,5,2.397360967,0,39,0,5,19,20,1,4,0,3,0,36,0,0,0,5,0,7,32,0,1,4,7,1,2.602639033,NA,0.128205128,0.052631579,0.2,NA,0,NA,0.138888889,NA,0.142857143,0.125,0.142857143,CM
